no;lm_indo;cek;cek2;lm_eng;negative;positive;uncertainty;litigious;strong_modal;weak_modal;constraining;complexity;anger;anticipation;disgust;fear;joy;negative_alt;positive_alt;sadness;surprise;trust
91;salah saji ;misstate;misstatement;misstatement;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;tidak dapat dipulihkan ;irrecoverable;cannot be recovered;irrecoverable;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;salah tafsir ;misinterpret;misinterpretation;misinterpretation;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;sampai sekarang ;hereto;until now;hereto;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;spekulasi ;speculate;speculation;speculation;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;luar biasa ;exceptional;Extraordinary;exceptional;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;dengan mana ;wherein;with which;wherein;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;undang-undang ;laws;Constitution;constitution;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;membebaskan tuduhan ;exonerate;exonerate the charges;exonerate;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;variasi ;variation;variation;variation;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;menilai ulang ;reassess;reassess;reassess;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;perkiraan ;approximate;estimation;approximate;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;perampasan ;deprivation;usurpation;usurpation;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;renegosiasi ;renegotiate;renegotiation;renegotiation;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;pengaduan ;complain;complaint;complaint;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;percobaan ;probated;test;probated;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;pengusiran ;ejectment;expulsion;expulsion;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;prediksi ;predict;predictions;predictions;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;penipuan ;deceit;fraud;fraud;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;rumit ;complex;complicated;complicated;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;penundaan ;abeyance;delay;delay;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;perintah ;enjoin;order;enjoin;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;menemukan ;invent;find;invent;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;menetapkan ;decreed;set;decreed;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;mendorong ;bolsters;push;bolsters;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;melemahkan ;undermine;weaken;weaken;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;memperburuk ;exacerbate;worsen;worsen;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;menghilang ;disappear;disappear;disappear;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;mengacak ;randomize;randomize;randomize;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;menyuap ;bribe;bribe;bribe;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;menyetujui ;acquiesce;agree;acquiesce;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;merampas ;dispossess;plunder;dispossess;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;memalukan ;embarrass;embarrassing;embarrassing;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;melarang ;forbade;forbid;forbid;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
125;manipulasi ;manipulate;manipulation;manipulation;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;kejahatan ;crime;crime;crime;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;inovasi ;innovate;innovation;innovation;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;interogasi ;interrogates;interrogation;interrogation;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;kebuntuan ;deadlock;deadlock;deadlock;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;disgorgements ;disgorgements;disgorgement;disgorgement;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;distorsi ;distort;distortion;distortion;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;diuntungkan ;advantaged;benefited;benefited;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;antisipasi ;anticipate;anticipation;anticipation;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;eksploitasi ;exploitation;exploitation;exploitation;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;dihukum ;convicted;punished;punished;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136;dirugikan ;adversary;disadvantaged;disadvantaged;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;dakwaan ;indict;indictment;indictment;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;tidak stabil ;unsettled;unstable;unstable;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139;tidak masuk akal ;unconscionable;does not make sense;unconscionable;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140;salah informasi ;misinform;wrong information;misinform;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141;salah urus ;mismanage;mismanagement;mismanagement;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142;tidak menguntungkan ;unfavorable;unfavorable;unfavorable;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
143;tidak dapat dibatalkan ;irrevocability;can not be cancelled;irrevocability;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
144;salah label ;mislabel;wrong label;mislabel;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145;yang berperkara ;litigant;the litigant;litigant;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
146;salah hitung ;miscalculate;miscalculated;miscalculated;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
147;kesalahan penyajian ;misrepresent;misrepresentation;misrepresentation;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;stagnasi ;stagnate;stagnation;stagnation;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
149;tertinggal ;lag;left behind;lag;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;tiba-tiba ;abrupt;suddenly;suddenly;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151;penggelapan ;embezzlement;embezzlement;embezzlement;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152;prasangka ;prejudice;prejudice;prejudice;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
153;pengorbanan ;sacrifice;sacrifice;sacrifice;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;penyitaan ;foreclosing;foreclosure;foreclosure;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
155;remediasi ;remediate;remediation;remediation;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
156;pengambilalihan ;expropriated;takeover;expropriated;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
157;sengaja ;deliberately;on purpose;deliberately;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
158;penggugat ;claimant;plaintiff;plaintiff;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
159;merendahkan ;degrading;condescending;degrading;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
160;menonaktifkan ;inactivate;disable;inactivate;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
161;mengutuk ;condemn;curse;condemn;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
162;memuaskan ;satisfactorily;satisfying;satisfying;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163;menyenangkan ;delightful;pleasant;pleasant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
164;mediasi ;mediate;mediation;mediation;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
165;menguntungkan ;favorable;profitable;profitable;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
166;meneliti ;scrutinize;research;scrutinize;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
167;meningkatkan ;boost;increase;boost;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
168;membahayakan ;endanger;endanger;endanger;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
169;menuntut ;prosecute;demand;prosecute;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
170;menggantikan ;supersede;replace;supersede;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
171;menyesatkan ;mislead;misleading;misleading;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
172;menggugat ;litigating;sue;sue;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
173;merestrukturisasi ;restructure;restructuring;restructuring;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
174;pelaksana ;executor;executor;executor;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
175;menghadapi ;appear;face;appear;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
176;kemungkinan ;likelihood;possibility;possibility;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
177;keberatan ;objected;object;objected;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
178;interupsi ;interrupt;interrupt;interrupt;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
179;jaminan ;bail;guarantee;bail;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180;koreksi ;corrected;correct;corrected;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
181;kebangkrutan ;bankruptcies;bankruptcy;bankruptcy;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
182;kodifikasi ;codifications;codification;codification;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;juri ;juries;jury;jury;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
184;makmur ;prospered;prosperous;prosperous;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
185;likuidasi ;liquidate;liquidation;liquidation;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
186;anggapan ;presumed;presumption;presumption;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
187;disgorgement ;disgorgement;disgorgement;disgorgement;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
188;frustasi ;frustrate;frustrated;frustrated;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
189;dihapuskan ;abolish;abolished;abolished;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
190;hati-hati ;caution;Be careful;caution;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
191;ceroboh ;careless;careless;careless;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192;salah klasifikasi ;misclassification;misclassification;misclassification;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
193;perbedaan pendapat ;dissent;dissent;dissent;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
194;tidak dapat diprediksi ;unpredictability;unpredictable;unpredictable;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
195;pengunduran diri ;resignation;resignation;resignation;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
196;tidak praktis ;impracticable;not practical;impracticable;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
197;tidak disengaja ;inadvertent;accidental;accidental;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
198;pengunjuk rasa ;protester;protesters;protesters;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
199;tidak tertagih ;uncollectable;not collectible;uncollectable;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;salah menilai ;misjudge;misjudged;misjudged;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201;turun tahta ;abdicates;abdicate;abdicates;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
202;untuk itu ;forwhich;therefore;forwhich;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
203;surat pengesahan hakim ;probate;probate;probate;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
204;tidak diinginkan ;undesirable;undesirable;undesirable;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
205;wajib ;compulsory;must;must;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
206;kurang membayar ;underpaid;less pay;underpaid;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
207;klaim balik ;counterclaim;counter claim;counterclaim;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
208;varian ;variance;variant;variant;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
209;yurisdiksi ;jurisdiction;jurisdiction;jurisdiction;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
210;mengecilkan hati ;discourage;discourage;discourage;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211;mempertimbangkan kembali ;reconsider;reconsider;reconsider;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212;kelebihan beban ;overload;overloaded;overloaded;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
213;tekanan ;stress;pressure;stress;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
214;kelebihan pasokan ;oversupplied;excess supply;oversupplied;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
215;berkinerja buruk ;underperformance;underperforming;underperforming;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
216;pembangunan berlebihan ;overbuild;excessive development;overbuild;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
217;peringatan ;warned;warning;warning;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
218;recuse ;recuse;recuse;recuse;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219;pengadilan ;adjudications;court;court;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
220;perjanjian ;covenant;agreement;covenant;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
221;perambahan ;encroaches;encroachment;encroachment;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222;pengampunan ;absolve;forgiveness;absolve;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
223;pencegah ;deter;deterrent;deterrent;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
224;perlambatan ;slowdown;slowdown;slowdown;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
225;ragu-ragu ;doubt;doubtful;doubtful;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
226;pemohon ;petitioner;applicant;petitioner;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
227;regangan ;strain;strain;strain;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
228;penawaran ;offeree;offer;offeree;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
229;sembrono ;frivolous;reckless;reckless;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
230;penalti ;penalize;penalty;penalty;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
231;runtuh ;collapse;collapse;collapse;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
232;percaya ;believe;believe;believe;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
233;sangat ;greatly;very;greatly;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234;penguatan ;strengthen;strengthening;strengthening;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
235;putusan ;ruling;decision;ruling;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
236;perpanjangan ;furtherance;extension;furtherance;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
237;peradilan ;judicial;Justice;justice;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
238;membocorkan ;divulge;leak;divulge;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
